Event Id,Investigation Type,Accident Number,Event Date,Location,Country,Latitude,Longitude,Airport Code,Airport Name,Injury Severity,Aircraft Damage,Aircraft Category,Registration Number,Make,Model,Amateur Built,Number of Engines,Engine Type,FAR Description,Schedule,Purpose of Flight,Air Carrier,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase of Flight,Report Status,Publication Date,
20001211X09687 , Accident , IAD98FA032 , 03/01/1998 ," LANGLEY AFB, VA ", United States ,,, LFI , LANGLEY AIR FORCE BASE , Fatal(2) , Destroyed ,  , N62082 , Cessna , 172P , No ,1, Reciprocating ,  ,  , Personal ,  ,2.0,0.0,0.0,0.0, IMC , TAKEOFF , Probable Cause , 08/27/1999 , 
20001211X09595 , Accident , MIA98LA090 , 02/27/1998 ," RAYMOND, MS ", United States ,,, M16 , JOHN BELL WILLIAMS , Non-Fatal , Destroyed ,  , N1287M , Cessna ,337, No ,2, Reciprocating ,  ,  , Personal ,  ,0.0,1.0,2.0,0.0, VMC , TAKEOFF , Probable Cause , 10/30/1998 , 
20001211X09609 , Accident , SEA98FA040 , 02/26/1998 ," GARWOOD, ID ", United States ,,,  ,  , Fatal(2) , Destroyed ,  , N109GF , Freije , LANCAIR IV , Yes ,1, Reciprocating ,  ,  , Personal ,  ,2.0,0.0,0.0,0.0, IMC , MANEUVERING , Probable Cause , 01/10/2000 , 
20001211X09565 , Accident , LAX98FA098 , 02/26/1998 ," LITTLEROCK, CA ", United States ,,,  ,  , Fatal(1) , Destroyed ,  , N8457J , Robinson , R22 , No ,1, Reciprocating ,  ,  , Personal ,  ,1.0,0.0,0.0,0.0, VMC , CRUISE , Probable Cause , 02/16/2001 , 
20001211X09534 , Accident , DCA98WA026 , 02/25/1998 ," MEXICO CITY, Mexico ", Mexico ,,,  ,  , Fatal(2) , Destroyed , Helicopter , XADDF , Bell ,212, No ,  , Unknown , Part 129: Foreign , NSCH , Unknown ,  ,2.0,2.0,,, UNK ,  , Foreign ,  , 
20001211X09590 , Accident , MIA98LA084 , 02/24/1998 ," HILLSBORO, TN ", United States ,,,  ,  , Fatal(1) , Destroyed ,  , N1171U , WALTER J COLLIE , CUMULUS , Yes ,1, Reciprocating ,  ,  , Personal ,  ,1.0,0.0,0.0,0.0, VMC , CRUISE , Probable Cause , 02/11/2000 , 
20001211X09564 , Accident , LAX98FA095 , 02/23/1998 ," SAN GORGONIO MO, CA ", United States ,,, L35 , BIG BEAR , Fatal(2) , Destroyed ,  , N3103W , Beech , A36 , No ,1, Reciprocating ,  ,  , Personal ,  ,2.0,0.0,0.0,0.0, VMC , CRUISE , Probable Cause , 08/13/2001 , 
20001211X09587 , Accident , MIA98LA081 , 02/22/1998 , GULF OF MEXICO ,  ,,,  ,  , Non-Fatal , Destroyed ,  , N757NK , Cessna , 150A , No ,1, Reciprocating ,  ,  ,  ,  ,0.0,0.0,0.0,1.0, VMC , CRUISE , Probable Cause , 07/26/2001 , 
20001211X09521 , Accident , CHI98FA096B , 02/22/1998 ," MALTA, IL ", United States ,,,  ,  , Fatal(2) , Destroyed ,  , N43804 , STANEK , SONERAI II LTS , Yes ,1, Reciprocating ,  ,  , Personal ,  ,2.0,0.0,0.0,0.0, VMC , CRUISE , Probable Cause , 02/15/2001 , 
20001211X09521 , Accident , CHI98FA096A , 02/22/1998 ," MALTA, IL ", United States ,,,  ,  , Fatal(2) , Destroyed ,  , N38NL , WASIELAK , SONERAI II L , Yes ,1, Reciprocating ,  ,  , Personal ,  ,2.0,0.0,0.0,0.0, VMC , CRUISE , Probable Cause , 02/15/2001 , 
20001211X09509 , Accident , ATL98FA053 , 02/22/1998 ," CLINTON, MS ", United States ,,,  ,  , Fatal(1) , Destroyed ,  , N9166W , Piper , PA-28-235 , No ,1, Reciprocating ,  ,  , Personal ,  ,1.0,0.0,0.0,0.0, IMC , CLIMB , Probable Cause , 02/15/2001 , 
